symbol,name,sector
PHOENIXLTD.NS,The Phoenix Mills,Real Estate
PNBHOUSING.NS,PNB Housing Finance,NBFC
POLYCAB.NS,Polycab,Consumer Electricals
POLYMED.NS,Poly Medicure,Healthcare
PRESTIGE.NS,Prestige Estates,Real Estate
PRINCEPIPE.NS,Prince Pipes,Infrastructure
PRISM.NS,Prism Johnson,Cement
RAJESHEXPO.NS,Rajesh Exports,Retail
RAMCOCEM.NS,The Ramco Cements,Cement
RELAXO.NS,Relaxo Footwears,Retail
RITES.NS,RITES,Infrastructure
ROSSARI.NS,Rossari Biotech,Chemicals
ROUTE.NS,Route Mobile,IT
SAPPHIRE.NS,Sapphire Foods,Consumer
SCHAEFFLER.NS,Schaeffler India,Auto Ancillary
SEQUENT.NS,Sequent Scientific,Pharma
SHRIRAMFIN.NS,Shriram Finance,NBFC
SKFINDIA.NS,SKF India,Auto Ancillary
SOBHA.NS,Sobha,Real Estate
SOLARINDS.NS,Solar Industries,Capital Goods
SONACOMS.NS,Sona BLW Precision,Auto Ancillary
STAR.NS,Star Health Insurance,Insurance
STARCEMENT.NS,Star Cement,Cement
STLTECH.NS,STL Technology,Electronics
SUDARSCHEM.NS,Sudarshan Chemical,Chemicals
SUMICHEM.NS,Sumitomo Chemical,Chemicals
SUPRAJIT.NS,Suprajit Engineering,Auto Ancillary
SUPREMEIND.NS,Supreme Industries,Consumer Durables
SYNGENE.NS,Syngene International,Pharma
TATACHEM.NS,Tata Chemicals,Chemicals
TATACOMM.NS,Tata Communications,Telecom
TATAINVEST.NS,Tata Investment,Diversified
TBOTEK.NS,TBO Tek,Internet
TEAMLEASE.NS,TeamLease Services,Internet
TIINDIA.NS,Tube Investments of India,Auto Ancillary
TIPSINDLTD.NS,TIPS Industries,Media
TORNTPHARM.NS,Torrent Pharma,Pharma
TRIDENT.NS,Trident,Textiles
TTKPRESTIG.NS,TTK Prestige,Consumer Durables
TVSSCS.NS,TVS Supply Chain,Logistics
UCOBANK.NS,UCO Bank,Banking
UJJIVANSFB.NS,Ujjivan Small Finance Bank,Banking
VAIBHAVGBL.NS,Vaibhav Global,Retail
VGUARD.NS,V-Guard Industries,Consumer Electricals
VIJAYABANK.NS,Vijaya Bank,Banking
VINATIORGA.NS,Vinati Organics,Chemicals
VOLTAMP.NS,Voltamp Transformers,Capital Goods
VSTIND.NS,VST Industries,FMCG
WELCORP.NS,Welspun Corp,Metals
WHIRLPOOL.NS,Whirlpool of India,Consumer Durables
WIPRO.NS,Wipro,IT
ZYDUSLIFE.NS,Zydus Lifesciences,Pharma
