symbol,name,sector
MUTHOOTFIN.NS,Muthoot Finance,NBFC
LUPIN.NS,Lupin,Pharma
BIOCON.NS,Biocon,Pharma
TORNTPHARM.NS,Torrent Pharmaceuticals,Pharma
AUROPHARMA.NS,Aurobindo Pharma,Pharma
ALKEM.NS,Alkem Laboratories,Pharma
IPCALAB.NS,IPCA Laboratories,Pharma
RECLTD.NS,REC Limited,NBFC
PFC.NS,Power Finance Corporation,NBFC
LICHSGFIN.NS,LIC Housing Finance,NBFC
CHOLAFIN.NS,Cholamandalam Investment,NBFC
MOTHERSON.NS,Motherson Sumi Wiring,Auto Ancillary
BALKRISIND.NS,Balkrishna Industries,Auto Ancillary
EXIDEIND.NS,Exide Industries,Auto Ancillary
AMBUJACEM.NS,Ambuja Cements,Cement
ACC.NS,ACC,Cement
RAMCOCEM.NS,Ramco Cements,Cement
DALMIACEME.NS,Dalmia Bharat,Cement
TRENT.NS,Trent,Retail
NYKAA.NS,FSN E-Commerce (Nykaa),Retail
DMART.NS,Avenue Supermarts,Retail
ZOMATO.NS,Zomato,Food Tech
PAYTM.NS,One 97 Communications,Fintech
POLICYBZR.NS,PB Fintech,Fintech
IRCTC.NS,IRCTC,Travel
INDIGO.NS,IndiGo (InterGlobe Aviation),Aviation
CONCOR.NS,Container Corporation,Logistics
GLAND.NS,Gland Pharma,Pharma
LALPATHLAB.NS,Dr Lal PathLabs,Healthcare
METROPOLIS.NS,Metropolis Healthcare,Healthcare
FORTIS.NS,Fortis Healthcare,Healthcare
MAXHEALTH.NS,Max Healthcare,Healthcare
MFSL.NS,Max Financial Services,Insurance
SBILIFE.NS,SBI Life Insurance,Insurance
HDFCLIFE.NS,HDFC Life Insurance,Insurance
ICICIGI.NS,ICICI Lombard General Insurance,Insurance
NAUKRI.NS,Info Edge (Naukri),Internet
ZEEL.NS,Zee Entertainment,Media
PVR.NS,PVR,Entertainment
INOXLEISUR.NS,Inox Leisure,Entertainment
PAGEIND.NS,Page Industries,Textiles
WHIRLPOOL.NS,Whirlpool of India,Consumer Durables
VOLTAS.NS,Voltas,Consumer Durables
BLUESTARCO.NS,Blue Star,Consumer Durables
Dixon.NS,Dixon Technologies,Electronics
AMBER.NS,Amber Enterprises,Electronics
GUJGASLTD.NS,Gujarat Gas,Utilities
IGL.NS,Indraprastha Gas,Utilities
MGL.NS,Mahanagar Gas,Utilities
TORNTPOWER.NS,Torrent Power,Utilities
CESC.NS,CESC,Utilities
NHPC.NS,NHPC,Utilities
GMRINFRA.NS,GMR Infrastructure,Infrastructure
IRB.NS,IRB Infrastructure,Infrastructure
ASHOKA.NS,Ashoka Buildcon,Infrastructure
KNRCON.NS,KNR Constructions,Infrastructure
OBEROIRLTY.NS,Oberoi Realty,Real Estate
DLF.NS,DLF,Real Estate
GODREJPROP.NS,Godrej Properties,Real Estate
PRESTIGE.NS,Prestige Estates,Real Estate
PHOENIXLTD.NS,Phoenix Mills,Real Estate
